Run, Subruns, All fills, Laser fills, Tracks, Quality tracks, Vertices, Quality vertices
17152, 80, 8460, 770, 1235371, 150666, 1203441, 77216
17156, 19, 1997, 182, 297077, 36006, 289376, 18452
17153, 155, 16379, 1490, 2397804, 291990, 2336411, 149686
17139, 468, 49639, 4514, 7187261, 872923, 7001685, 446932
17155, 363, 37891, 2150, 5587418, 680000, 5443627, 348604
17160, 207, 21776, 1981, 3233916, 394973, 3151241, 202995
17162, 129, 13569, 1233, 2013914, 247369, 1962320, 127079
17157, 479, 50271, 3865, 7438803, 906646, 7248270, 465212
17163, 180, 18930, 1721, 2800124, 343020, 2728519, 176082
17159, 480, 50472, 4587, 7488596, 915482, 7296461, 470457
17164, 251, 26537, 2414, 3870911, 474860, 3771402, 243358
17166, 487, 51442, 4675, 7531479, 925566, 7337328, 475339
17167, 467, 49277, 4481, 7284237, 894835, 7097320, 459364
17168, 434, 45801, 4162, 6768731, 833235, 6595833, 427646
17171, 87, 9213, 838, 1338632, 163951, 1304410, 83742
17169, 297, 31436, 2859, 4592337, 565531, 4474394, 290525
17175, 184, 19493, 1771, 2861468, 352563, 2788765, 181011
17178, 142, 15151, 1376, 2198689, 272076, 2142517, 139455
17180, 58, 6068, 553, 906541, 112386, 883847, 57907
17212, 92, 9861, 897, 1384982, 172774, 1349968, 88599
17172, 417, 43588, 61, 6403759, 786931, 6239766, 403804
17213, 34, 3611, 329, 519030, 64971, 505836, 33429
17179, 310, 32241, 1482, 4738144, 588440, 4617291, 302322
17218, 5, 507, 46, 71977, 9056, 70235, 4677
17216, 37, 3945, 358, 560340, 70080, 546115, 35940
17220, 156, 16664, 1517, 2383723, 297452, 2323139, 152787
17215, 346, 36750, 3339, 5261553, 655883, 5128609, 336922
17219, 291, 30996, 2816, 4414110, 551417, 4302748, 283598
17223, 319, 34144, 3107, 4853219, 603333, 4730784, 310617
17226, 226, 24237, 2202, 3601468, 446436, 3510873, 229902
17227, 331, 35364, 3216, 5316630, 658605, 5181909, 339211
17224, 468, 50477, 4585, 7379598, 916699, 7194258, 472164
17228, 399, 41755, 3799, 6314521, 778777, 6154433, 400811
17229, 258, 27263, 2481, 4044970, 497312, 3942014, 255912
17231, 255, 27038, 2461, 3985058, 488756, 3883797, 250907
17235, 108, 11324, 1030, 1708637, 210290, 1665489, 108598
17232, 398, 42116, 3830, 6250078, 767261, 6091550, 395094
17238, 170, 17818, 1620, 2697073, 333465, 2629148, 171610
17234, 467, 49000, 4454, 7366787, 904136, 7178971, 464486
17239, 368, 38583, 3505, 5806187, 714666, 5659132, 367622
17243, 4, 420, 39, 62489, 7703, 60912, 3977
17240, 468, 49010, 4457, 7382530, 910299, 7194804, 468192
17242, 325, 33968, 3089, 5157215, 635515, 5025961, 328008
17241, 488, 51047, 4644, 7745019, 952712, 7548845, 490395
17244, 366, 38488, 3503, 5750250, 709192, 5603582, 364785
17246, 194, 20507, 1864, 3073352, 378043, 2995696, 195002
17245, 377, 39736, 3611, 5968041, 733586, 5815614, 377742
17247, 462, 48879, 4441, 7264206, 890401, 7078838, 456476
17248, 451, 48089, 4372, 7026137, 855132, 6845500, 437956
17249, 461, 49123, 4466, 7225783, 879727, 7040255, 450361
17252, 65, 6935, 631, 1012530, 123745, 986313, 63034
17250, 463, 49164, 4470, 7235708, 879287, 7048370, 448401
17255, 100, 10594, 964, 1556926, 189601, 1516839, 97124
17251, 464, 49378, 4491, 7222807, 879924, 7036045, 449458
17256, 386, 40894, 3714, 6021316, 733577, 5865004, 373740
17257, 327, 34635, 3151, 5097220, 622292, 4965082, 317183
17258, 466, 49251, 4476, 7267250, 886849, 7078902, 452371
17259, 377, 39846, 3621, 5885861, 721036, 5733260, 367731
17262, 320, 34260, 3114, 4944278, 606442, 4817165, 309549
17264, 297, 31840, 2892, 4597608, 563053, 4479328, 287055
17261, 395, 41870, 3806, 6154635, 755215, 5994999, 385969
17266, 68, 7260, 659, 1048350, 127801, 1021222, 65297
17265, 381, 40971, 3727, 5903694, 720223, 5751340, 368306
17268, 198, 21348, 1943, 3073290, 372957, 2992944, 190051
17272, 37, 3945, 356, 568797, 68897, 553798, 35055
17267, 362, 38865, 3531, 5633096, 685103, 5486636, 349625
17270, 357, 38481, 3496, 5532924, 670354, 5388148, 340975
17271, 395, 42419, 3853, 6122408, 740984, 5962451, 377398
17291, 379, 42399, 3852, 5496881, 669388, 5351874, 339887
